15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/29 04:04:28 INFO mapreduce.Job:  map 70% reduce 16%
15/06/29 04:05:40 INFO mapreduce.Job:  map 70% reduce 17%
15/06/29 04:06:20 INFO mapreduce.Job:  map 70% reduce 44%
15/06/29 04:06:23 INFO mapreduce.Job:  map 70% reduce 0%
15/06/29 04:07:32 INFO mapreduce.Job:  map 70% reduce 1%
15/06/29 04:07:41 INFO mapreduce.Job:  map 71% reduce 1%
15/06/29 04:09:21 INFO mapreduce.Job:  map 71% reduce 2%
15/06/29 04:11:01 INFO mapreduce.Job:  map 71% reduce 3%
15/06/29 04:12:35 INFO mapreduce.Job:  map 71% reduce 4%
15/06/29 04:14:05 INFO mapreduce.Job:  map 71% reduce 5%
15/06/29 04:15:34 INFO mapreduce.Job:  map 71% reduce 6%
15/06/29 04:16:25 INFO mapreduce.Job:  map 72% reduce 6%
15/06/29 04:17:03 INFO mapreduce.Job:  map 72% reduce 7%
15/06/29 04:18:53 INFO mapreduce.Job:  map 72% reduce 8%
15/06/29 04:21:14 INFO mapreduce.Job:  map 72% reduce 9%
15/06/29 04:23:37 INFO mapreduce.Job:  map 73% reduce 9%
15/06/29 04:29:46 INFO mapreduce.Job:  map 74% reduce 9%
15/06/29 04:36:01 INFO mapreduce.Job:  map 75% reduce 9%
15/06/29 04:39:02 INFO mapreduce.Job:  map 75% reduce 10%
15/06/29 04:41:43 INFO mapreduce.Job:  map 76% reduce 10%
15/06/29 04:43:24 INFO mapreduce.Job:  map 76% reduce 11%
15/06/29 04:44:33 INFO mapreduce.Job:  map 77% reduce 11%
15/06/29 04:44:41 INFO mapreduce.Job:  map 77% reduce 12%
15/06/29 04:45:49 INFO mapreduce.Job:  map 77% reduce 13%
15/06/29 04:46:53 INFO mapreduce.Job:  map 78% reduce 13%
15/06/29 04:46:54 INFO mapreduce.Job:  map 78% reduce 14%
15/06/29 04:47:54 INFO mapreduce.Job:  map 78% reduce 15%
15/06/29 04:48:55 INFO mapreduce.Job:  map 78% reduce 16%
15/06/29 04:49:10 INFO mapreduce.Job:  map 79% reduce 16%
15/06/29 04:49:57 INFO mapreduce.Job:  map 79% reduce 17%
15/06/29 04:50:06 INFO mapreduce.Job:  map 79% reduce 2%
15/06/29 04:50:07 INFO mapreduce.Job:  map 79% reduce 0%
15/06/29 04:51:11 INFO mapreduce.Job:  map 79% reduce 1%
15/06/29 04:52:51 INFO mapreduce.Job:  map 79% reduce 2%
15/06/29 04:54:02 INFO mapreduce.Job:  map 79% reduce 3%
15/06/29 04:55:05 INFO mapreduce.Job:  map 80% reduce 4%
15/06/29 04:56:04 INFO mapreduce.Job:  map 80% reduce 5%
15/06/29 04:57:00 INFO mapreduce.Job:  map 80% reduce 6%
15/06/29 04:57:56 INFO mapreduce.Job:  map 81% reduce 7%
15/06/29 04:58:51 INFO mapreduce.Job:  map 81% reduce 8%
15/06/29 04:59:46 INFO mapreduce.Job:  map 81% reduce 9%
15/06/29 05:00:41 INFO mapreduce.Job:  map 81% reduce 10%
15/06/29 05:00:43 INFO mapreduce.Job:  map 82% reduce 10%
15/06/29 05:01:35 INFO mapreduce.Job:  map 82% reduce 11%
15/06/29 05:02:33 INFO mapreduce.Job:  map 82% reduce 12%
15/06/29 05:03:27 INFO mapreduce.Job:  map 82% reduce 13%
15/06/29 05:04:24 INFO mapreduce.Job:  map 82% reduce 14%
15/06/29 05:04:25 INFO mapreduce.Job:  map 83% reduce 14%
15/06/29 05:05:23 INFO mapreduce.Job:  map 83% reduce 15%
15/06/29 05:06:20 INFO mapreduce.Job:  map 83% reduce 16%
15/06/29 05:07:22 INFO mapreduce.Job:  map 83% reduce 17%
15/06/29 05:07:45 INFO mapreduce.Job:  map 83% reduce 62%
15/06/29 05:07:46 INFO mapreduce.Job:  map 83% reduce 1%
15/06/29 05:07:47 INFO mapreduce.Job:  map 83% reduce 0%
15/06/29 05:08:48 INFO mapreduce.Job:  map 83% reduce 1%
15/06/29 05:10:26 INFO mapreduce.Job:  map 83% reduce 2%
15/06/29 05:11:52 INFO mapreduce.Job:  map 83% reduce 3%
15/06/29 05:13:18 INFO mapreduce.Job:  map 83% reduce 4%
15/06/29 05:14:37 INFO mapreduce.Job:  map 83% reduce 5%
15/06/29 05:15:03 INFO mapreduce.Job:  map 84% reduce 5%
15/06/29 05:15:54 INFO mapreduce.Job:  map 84% reduce 6%
15/06/29 05:17:09 INFO mapreduce.Job:  map 84% reduce 7%
15/06/29 05:18:25 INFO mapreduce.Job:  map 84% reduce 8%
15/06/29 05:19:49 INFO mapreduce.Job:  map 84% reduce 9%
15/06/29 05:21:32 INFO mapreduce.Job:  map 84% reduce 10%
15/06/29 05:22:17 INFO mapreduce.Job:  map 85% reduce 10%
15/06/29 05:28:44 INFO mapreduce.Job:  map 86% reduce 10%
15/06/29 05:33:28 INFO mapreduce.Job:  map 86% reduce 11%
15/06/29 05:35:41 INFO mapreduce.Job:  map 87% reduce 11%
15/06/29 05:41:48 INFO mapreduce.Job:  map 88% reduce 11%
15/06/29 05:47:12 INFO mapreduce.Job:  map 88% reduce 12%
15/06/29 05:47:23 INFO mapreduce.Job:  map 89% reduce 12%
15/06/29 05:48:46 INFO mapreduce.Job:  map 89% reduce 13%
15/06/29 05:50:07 INFO mapreduce.Job:  map 89% reduce 14%
15/06/29 05:50:15 INFO mapreduce.Job:  map 90% reduce 14%
15/06/29 05:51:12 INFO mapreduce.Job:  map 90% reduce 15%
15/06/29 05:52:17 INFO mapreduce.Job:  map 90% reduce 16%
15/06/29 05:52:46 INFO mapreduce.Job:  map 91% reduce 16%
15/06/29 05:53:22 INFO mapreduce.Job:  map 91% reduce 17%
15/06/29 05:54:26 INFO mapreduce.Job:  map 91% reduce 18%
15/06/29 05:55:29 INFO mapreduce.Job:  map 91% reduce 19%
15/06/29 05:56:27 INFO mapreduce.Job:  map 91% reduce 20%
15/06/29 05:57:27 INFO mapreduce.Job:  map 91% reduce 21%
15/06/29 05:58:31 INFO mapreduce.Job:  map 91% reduce 22%
15/06/29 05:58:33 INFO mapreduce.Job:  map 91% reduce 86%
15/06/29 05:58:34 INFO mapreduce.Job:  map 91% reduce 6%
15/06/29 05:58:35 INFO mapreduce.Job:  map 91% reduce 0%
15/06/29 05:59:06 INFO mapreduce.Job:  map 91% reduce 1%
15/06/29 05:59:33 INFO mapreduce.Job:  map 92% reduce 1%
15/06/29 06:00:50 INFO mapreduce.Job:  map 92% reduce 2%
15/06/29 06:02:29 INFO mapreduce.Job:  map 92% reduce 3%
15/06/29 06:04:02 INFO mapreduce.Job:  map 92% reduce 4%
15/06/29 06:05:28 INFO mapreduce.Job:  map 92% reduce 5%
15/06/29 06:06:34 INFO mapreduce.Job:  map 93% reduce 5%
15/06/29 06:06:38 INFO mapreduce.Job:  map 93% reduce 6%
15/06/29 06:07:46 INFO mapreduce.Job:  map 93% reduce 7%
15/06/29 06:08:59 INFO mapreduce.Job:  map 93% reduce 8%
15/06/29 06:10:17 INFO mapreduce.Job:  map 93% reduce 9%
15/06/29 06:11:35 INFO mapreduce.Job:  map 93% reduce 10%
15/06/29 06:12:23 INFO mapreduce.Job:  map 94% reduce 10%
15/06/29 06:13:03 INFO mapreduce.Job:  map 94% reduce 11%
15/06/29 06:14:42 INFO mapreduce.Job:  map 94% reduce 12%
15/06/29 06:18:12 INFO mapreduce.Job:  map 95% reduce 12%
15/06/29 06:20:46 INFO mapreduce.Job:  map 95% reduce 13%
15/06/29 06:23:48 INFO mapreduce.Job:  map 96% reduce 13%
15/06/29 06:28:28 INFO mapreduce.Job:  map 97% reduce 13%
15/06/29 06:34:24 INFO mapreduce.Job:  map 98% reduce 13%
15/06/29 06:38:16 INFO mapreduce.Job:  map 99% reduce 13%
15/06/29 06:38:26 INFO mapreduce.Job:  map 99% reduce 14%
15/06/29 06:40:04 INFO mapreduce.Job:  map 99% reduce 15%
15/06/29 06:40:42 INFO mapreduce.Job:  map 100% reduce 15%
15/06/29 06:41:46 INFO mapreduce.Job:  map 100% reduce 16%
15/06/29 06:42:51 INFO mapreduce.Job:  map 100% reduce 17%
15/06/29 06:42:52 INFO mapreduce.Job:  map 100% reduce 18%
15/06/29 06:42:54 INFO mapreduce.Job:  map 100% reduce 19%
15/06/29 06:42:55 INFO mapreduce.Job:  map 100% reduce 20%
15/06/29 06:43:02 INFO mapreduce.Job:  map 100% reduce 21%
15/06/29 06:43:14 INFO mapreduce.Job:  map 100% reduce 22%
15/06/29 06:43:21 INFO mapreduce.Job:  map 100% reduce 23%
15/06/29 06:43:34 INFO mapreduce.Job:  map 100% reduce 24%
15/06/29 06:43:47 INFO mapreduce.Job:  map 100% reduce 25%
15/06/29 06:43:56 INFO mapreduce.Job:  map 100% reduce 26%
15/06/29 06:44:13 INFO mapreduce.Job:  map 100% reduce 27%
15/06/29 06:44:31 INFO mapreduce.Job:  map 100% reduce 28%
15/06/29 06:44:47 INFO mapreduce.Job:  map 100% reduce 29%
15/06/29 06:45:01 INFO mapreduce.Job:  map 100% reduce 30%
15/06/29 06:45:19 INFO mapreduce.Job:  map 100% reduce 31%
15/06/29 06:45:35 INFO mapreduce.Job:  map 100% reduce 32%
15/06/29 06:46:22 INFO mapreduce.Job:  map 100% reduce 33%
15/06/29 06:46:58 INFO mapreduce.Job:  map 100% reduce 34%
15/06/29 06:47:47 INFO mapreduce.Job:  map 100% reduce 35%
15/06/29 06:48:35 INFO mapreduce.Job:  map 100% reduce 36%
15/06/29 06:49:23 INFO mapreduce.Job:  map 100% reduce 37%
15/06/29 06:50:11 INFO mapreduce.Job:  map 100% reduce 38%
15/06/29 06:51:07 INFO mapreduce.Job:  map 100% reduce 39%
15/06/29 06:52:00 INFO mapreduce.Job:  map 100% reduce 40%
15/06/29 06:52:55 INFO mapreduce.Job:  map 100% reduce 41%
15/06/29 06:53:52 INFO mapreduce.Job:  map 100% reduce 42%
15/06/29 06:54:51 INFO mapreduce.Job:  map 100% reduce 43%
15/06/29 06:55:53 INFO mapreduce.Job:  map 100% reduce 44%
15/06/29 06:56:59 INFO mapreduce.Job:  map 100% reduce 45%
15/06/29 06:58:03 INFO mapreduce.Job:  map 100% reduce 46%
15/06/29 06:58:41 INFO mapreduce.Job:  map 100% reduce 47%
15/06/29 06:59:25 INFO mapreduce.Job:  map 100% reduce 48%
