15/06/26 05:01:38 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/26 05:02:18 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/26 05:02:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_14061
15/06/26 05:02:19 INFO impl.YarnClientImpl: Submitted application application_1434651818028_14061
15/06/26 05:02:19 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_14061/
15/06/26 05:02:19 INFO mapreduce.Job: Running job: job_1434651818028_14061
15/06/26 05:02:28 INFO mapreduce.Job: Job job_1434651818028_14061 running in uber mode : false
		Bytes Read=5913894656156
	File Output Format Counters 
		Bytes Written=0
	org.wikimedia.west1.traces.GroupAndFilterMapper$HADOOP_COUNTERS
		MAP_OK_REQUEST=1601162584
		MAP_SKIPPED_BAD_HOST=60638169748
		MAP_SKIPPED_BAD_HTTP_STATUS=37993828
		MAP_SKIPPED_BAD_PATH=4259222280
		MAP_SKIPPED_BOT=675750791
		MAP_SKIPPED_SPECIAL_PAGE=133877196
	org.wikimedia.west1.traces.TreeExtractorReducer$HADOOP_COUNTERS
		REDUCE_MSEC_EVENT_CONSTRUCTOR=32173856
		REDUCE_OK_TREE=968380177
		REDUCE_REDIRECT_RESOLVED=48222040
		REDUCE_SKIPPED_WIKIMEDIA_REFERER_IN_ROOT=53769539
		REDUCE_STACKOVERFLOW=13494
		REDUCE_TOO_MANY_EVENTS=2121
	parquet
		bytesread=5913800719589
		bytestotal=6729171928164
		timeread=68210341
Jun 26, 2015 5:01:39 AM INFO: parquet.hadoop.ParquetInputFormat: Total input paths to process : 47616
